# metric_direction: higher
# mode: loop
# parallel: serial
# web_search: disabled
# goal: Improve the non-LLM recall pipeline by consuming layered memory DSL in ordinary retrieval and working-memory assembly
# scope: src/search/**,src/cognition/assembly.rs,src/cognition/working_memory.rs,src/memory/repository.rs,tests/lexical_search.rs,tests/retrieval_cli.rs,tests/working_memory_assembly.rs
# repos_json: [{"path":"/home/tongyuan/project/agent_memos","role":"primary","scope":"src/search/**,src/cognition/assembly.rs,src/cognition/working_memory.rs,src/memory/repository.rs,tests/lexical_search.rs,tests/retrieval_cli.rs,tests/working_memory_assembly.rs"}]
# metric: retrieval_green_checks
# verify: cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly
# guard: cargo clippy --quiet --all-targets -- -D warnings
# rollback_policy: revert
iteration	commit	metric	delta	guard	status	description
0	d61dc8258aab1dd81b3749323197614ed3e01c06	10	0	-	baseline	[baseline] Verified that save-side FTS is already enabled via migration 0003 triggers and measured the current non-LLM retrieval baseline at 10 passing checks across lexical_search, retrieval_cli, and working_memory_assembly.
1	d61dc8258aab1dd81b3749323197614ed3e01c06	11	+1	cargo clippy --quiet --all-targets -- -D warnings	keep	[labels: retrieval-dsl-consumption, lexical-first, ordinary-retrieval] Confirmed that save-side FTS is already enabled through migration 0003 and memory_records FTS triggers, then extended ordinary non-LLM retrieval to attach persisted DSL sidecars on SearchResult and reuse them during working-memory assembly; focused retrieval checks improved from 10 to 11 and downstream agent/rumination regressions stayed green.
2	d61dc8258aab1dd81b3749323197614ed3e01c06	13	+2	cargo clippy --quiet --all-targets -- -D warnings	keep	[labels: structured-recall, lexical-first, ordinary-retrieval] Added non-LLM structured recall over persisted DSL fields so ordinary retrieval can match taxonomy and compressed memory facts even when the raw text does not contain the query term, fixed candidate-strategy merging so structured hits do not masquerade as embedding hybrids, and raised the focused retrieval matrix from 11 to 13 green checks while keeping agent_search green.
3	d61dc8258aab1dd81b3749323197614ed3e01c06	14	+1	cargo clippy --quiet --all-targets -- -D warnings	keep	[labels: retrieval-text-surface, lexical-first, ordinary-retrieval] Extended ordinary text-mode retrieval to render the structured DSL summary alongside citations so front-stage consumers see the compressed memory shape instead of only raw snippets, and raised the focused retrieval matrix from 13 to 14 green checks while keeping the lexical-first guard green.
4	d61dc8258aab1dd81b3749323197614ed3e01c06	16	+2	cargo clippy --quiet --all-targets -- -D warnings	keep	[labels: taxonomy-filters, lexical-first, working-memory-assembly] Added explicit non-LLM taxonomy filters on SearchFilters for domain/topic/aspect/kind, applied them after DSL sidecar attachment so ordinary lexical recall and structured recall both respect the same structure-level constraints, and verified that working-memory assembly now inherits those taxonomy cuts from retrieval requests; focused retrieval checks improved from 14 to 16 while agent_search stayed green.
5	d61dc8258aab1dd81b3749323197614ed3e01c06	18	+2	cargo clippy --quiet --all-targets -- -D warnings	keep	[labels: cli-taxonomy-filters, lexical-first, agent-search] Exposed the existing non-LLM taxonomy filters on both search and agent-search CLI surfaces via explicit --domain/--topic/--aspect/--kind flags, threaded those filters into working-memory requests, and verified that both plain retrieval and agent-search JSON outputs now preserve the requested structure-level cuts; focused retrieval checks improved from 16 to 18 with clippy still green.
6	d61dc8258aab1dd81b3749323197614ed3e01c06	20	+2	cargo clippy --quiet --all-targets -- -D warnings	keep	[labels: taxonomy-cli-validation, lexical-first, cli-surface] Tightened the non-LLM retrieval entrypoints so search and agent-search CLI taxonomy filters are parsed against the fixed taxonomy v1 set instead of accepting free-form strings, while preserving the new structure-level retrieval controls and adding explicit invalid-input coverage; focused retrieval checks improved from 18 to 20 with clippy still green.
7	d61dc8258aab1dd81b3749323197614ed3e01c06	22	+2	cargo clippy --quiet --all-targets -- -D warnings	keep	[labels: taxonomy-combination-validation, lexical-first, cli-surface] Added taxonomy-combination validation for the search and agent-search CLI surfaces so invalid domain/topic pairings are rejected against taxonomy v1 before runtime-gate checks, preserving the fixed-ontology boundary at the retrieval entrypoint; focused retrieval checks improved from 20 to 22 with clippy still green.
8	d61dc8258aab1dd81b3749323197614ed3e01c06	23	+1	cargo clippy --quiet --all-targets -- -D warnings	keep	[labels: dsl-aware-ranking, lexical-first, ordinary-retrieval] Extended lexical-first scoring so keyword bonuses also account for persisted DSL taxonomy and compressed fact fields, propagated DSL payloads through candidate merging, and verified that structured kind matches now break otherwise lexical ties in favor of the more semantically aligned record; focused retrieval checks improved from 22 to 23 with clippy still green.
9	d61dc8258aab1dd81b3749323197614ed3e01c06	25	+2	cargo clippy --quiet --all-targets -- -D warnings	keep	[labels: library-taxonomy-validation, lexical-first, ordinary-retrieval] Pushed fixed-taxonomy validation down into the SearchService so direct library callers can no longer bypass the taxonomy v1 boundary with free-form or cross-domain filters, complementing the earlier CLI validation and keeping retrieval semantics consistent across surfaces; focused retrieval checks improved from 23 to 25 with clippy still green.
10	d61dc8258aab1dd81b3749323197614ed3e01c06	29	+4	cargo clippy --quiet --all-targets -- -D warnings	keep	[labels: library-taxonomy-hardening, lexical-first, ordinary-retrieval] Expanded library-level taxonomy validation coverage across unknown domain/aspect/kind values plus valid domain/topic pairs, so non-CLI retrieval callers now hit the same fixed-taxonomy guardrails with explicit tests and valid combinations still flow through the lexical-first path; focused retrieval checks improved from 25 to 29 with clippy still green.
11	d61dc8258aab1dd81b3749323197614ed3e01c06	30	+1	cargo clippy --quiet --all-targets -- -D warnings	keep	[labels: retrieval-metric-realigned, lexical-first, library-taxonomy-hardening] Added four positive library-level taxonomy validation checks so the configured retrieval verify surface now fully reflects the fixed-taxonomy hardening already implemented, pushing the focused non-LLM retrieval metric to 30 green checks across retrieval_cli, working_memory_assembly, and lexical_search while keeping the lexical-first guard green.
12	d61dc8258aab1dd81b3749323197614ed3e01c06	32	+2	cargo clippy --quiet --all-targets -- -D warnings	keep	[labels: retrieval-surface-lockdown, lexical-first, ordinary-retrieval] Added explicit retrieval_cli coverage for taxonomy filter echoing in library responses and text-mode filter rendering, locking down the user-visible non-LLM retrieval surfaces after the taxonomy hardening work and raising the focused retrieval metric from 30 to 32 green checks with clippy still green.
